Average Precol GPA,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
3.425,1,158,135
2.91,1.5,140,137
3.48144,1.5,151,134
3.48144,1.5,158,132
3.48144,1.5,159,137
3.65,1.5,154,135
3.81,1.5,151,165
0,2,159,148
2.38,2,160,131
3.06,2,154,132
3.21,2,161,135
3.28333,2,163,134
3.3,2,144,134
3.305,2,161,154
3.32,2,162,145
3.33,2,148,139
3.34,2,151,134
3.37,2,158,137
3.435,2,164,135
3.48144,2,156,133
3.48144,2,153,134
3.48144,2,166,137
3.48144,2,155,138
3.48144,2,147,137
3.48144,2,165,142
3.48144,2,146,148
3.49,2,159,154
3.52,2,156,138
3.6,2,155,137
3.66,2,161,130
3.74,2,150,134
3.91,2,161,143
3.92,2,156,130
4,2,163,144
1.33667,2.5,138,144
2.66,2.5,168,152
2.68,2.5,154,140
2.7,2.5,157,135
2.78,2.5,164,140
2.875,2.5,161,149
2.99,2.5,159,139
2.99,2.5,159,139
2.99,2.5,164,142
2.995,2.5,140,141
3,2.5,163,137
3,2.5,149,140
3,2.5,166,164
3,2.5,159,152
3,2.5,158,145
3.12,2.5,156,136
3.15333,2.5,163,149
3.2,2.5,164,132
3.205,2.5,151,145
3.215,2.5,160,149
3.23,2.5,151,143
3.25,2.5,164,154
3.255,2.5,144,148
3.26,2.5,164,148
3.27,2.5,166,139
3.28,2.5,154,139
3.29,2.5,153,151
3.315,2.5,166,144
3.4,2.5,163,144
3.4,2.5,166,170
3.435,2.5,165,144
3.4725,2.5,152,139
3.48144,2.5,155,140
3.48144,2.5,164,130
3.48144,2.5,166,138
3.48144,2.5,161,164
3.48144,2.5,166,135
3.48144,2.5,166,166
3.48144,2.5,154,140
3.48144,2.5,134,143
3.48144,2.5,159,136
3.48144,2.5,139,152
3.48144,2.5,152,138
3.48144,2.5,141,140
3.48144,2.5,141,149
3.48144,2.5,162,143
3.48144,2.5,158,137
3.48144,2.5,153,140
3.48144,2.5,151,149
3.48144,2.5,156,164
3.48144,2.5,155,140
3.48144,2.5,161,137
3.48144,2.5,161,148
3.48144,2.5,153,142
3.495,2.5,163,164
3.505,2.5,162,151
3.51,2.5,156,153
3.51,2.5,163,151
3.6,2.5,160,157
3.61,2.5,154,142
3.64333,2.5,158,148
3.75,2.5,157,139
3.77,2.5,164,142
3.89,2.5,163,134
0,3,165,151
0.32,3,156,139
1.55,3,144,159
1.82,3,159,158
2.35667,3,158,143
2.35667,3,168,149
2.395,3,167,152
2.62,3,160,158
2.64,3,149,140
2.66,3,164,140
2.67,3,156,148
2.73,3,161,141
2.76,3,156,143
2.76,3,164,149
2.77,3,165,146
2.81,3,152,150
2.86,3,153,149
2.87,3,157,149
2.92,3,154,142
2.93,3,166,151
2.94,3,167,142
2.94,3,170,142
2.95,3,156,148
2.965,3,156,142
2.98,3,158,144
3,3,166,152
3,3,156,140
3.02,3,165,148
3.02,3,165,149
3.03,3,160,159
3.035,3,164,146
3.04,3,157,141
3.05,3,161,152
3.05,3,163,147
3.05,3,160,152
3.1,3,170,149
3.13,3,160,135
3.135,3,165,149
3.14,3,151,149
3.14,3,152,148
3.16,3,164,142
3.165,3,165,145
