ID,GRE Analytical Writing Score,GRE Quantitative Score,GRE Verbal Score,GRE Revised General Write Score,GRE Revised General Quant Score,GRE Revised General Verbal Score,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
1 ,,,,3.5 ,159 ,160 ,3.51000 ,,3.5000 ,159.0000 ,160.0000 
2 ,,,,,,,2.97500 ,,3.8165 ,157.3401 ,154.9181 
3 ,,,,4.0 ,155 ,147 ,3.49000 ,,4.0000 ,155.0000 ,147.0000 
4 ,,,,5.5 ,159 ,170 ,4.00500 ,,5.5000 ,159.0000 ,170.0000 
5 ,,,,4.0 ,160 ,148 ,3.52333 ,,4.0000 ,160.0000 ,148.0000 
6 ,,,,,,,3.11000 ,,3.8165 ,157.3401 ,154.9181 
7 ,,,,,,,3.27000 ,,3.8165 ,157.3401 ,154.9181 
8 ,4.0 ,141 ,147 ,,,,3.17000 ,,4.0000 ,141.0000 ,147.0000 
9 ,,,,5.0 ,155 ,164 ,3.59000 ,,5.0000 ,155.0000 ,164.0000 
10 ,,,,4.5 ,153 ,158 ,2.61500 ,,4.5000 ,153.0000 ,158.0000 
11 ,,,,4.0 ,159 ,163 ,3.19000 ,,4.0000 ,159.0000 ,163.0000 
12 ,3.0 ,166 ,170 ,,,,3.72000 ,,3.0000 ,166.0000 ,170.0000 
13 ,,,,,,,3.90000 ,,3.8165 ,157.3401 ,154.9181 
14 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
15 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
16 ,6.0 ,143 ,160 ,,,,3.48144 ,,6.0000 ,143.0000 ,160.0000 
17 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
18 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
19 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
20 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
21 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
22 ,,,,,,,3.75000 ,,3.8165 ,157.3401 ,154.9181 
23 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
24 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
25 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
26 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
27 ,4.0 ,135 ,149 ,,,,3.70000 ,,4.0000 ,135.0000 ,149.0000 
28 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
29 ,,,,,,,3.50000 ,,3.8165 ,157.3401 ,154.9181 
30 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
31 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
32 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
33 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
34 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
35 ,4.5 ,149 ,156 ,,,,3.41000 ,,4.5000 ,149.0000 ,156.0000 
36 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
37 ,,,,,,,3.22000 ,,3.8165 ,157.3401 ,154.9181 
38 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
39 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
40 ,,,,,,,3.43000 ,,3.8165 ,157.3401 ,154.9181 
41 ,,,,,,,3.54000 ,,3.8165 ,157.3401 ,154.9181 
42 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
43 ,,,,,,,3.95000 ,,3.8165 ,157.3401 ,154.9181 
44 ,,,,,,,3.61000 ,,3.8165 ,157.3401 ,154.9181 
45 ,,,,,,,4.00000 ,,3.8165 ,157.3401 ,154.9181 
46 ,,,,,,,4.00000 ,,3.8165 ,157.3401 ,154.9181 
47 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
48 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
49 ,,,,,,,3.40000 ,,3.8165 ,157.3401 ,154.9181 
50 ,,,,,,,3.85333 ,,3.8165 ,157.3401 ,154.9181 
51 ,,,,,,,3.50000 ,,3.8165 ,157.3401 ,154.9181 
52 ,,,,,,,3.50000 ,,3.8165 ,157.3401 ,154.9181 
53 ,,,,,,,3.52000 ,,3.8165 ,157.3401 ,154.9181 
54 ,2.5 ,160 ,157 ,,,,3.60000 ,,2.5000 ,160.0000 ,157.0000 
55 ,,,,,,,3.37000 ,,3.8165 ,157.3401 ,154.9181 
56 ,,,,,,,3.38000 ,,3.8165 ,157.3401 ,154.9181 
57 ,,,,,,,3.16500 ,,3.8165 ,157.3401 ,154.9181 
58 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
59 ,,,,,,,3.97000 ,,3.8165 ,157.3401 ,154.9181 
60 ,,,,,,,3.63000 ,,3.8165 ,157.3401 ,154.9181 
61 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
62 ,,,,,,,3.55000 ,,3.8165 ,157.3401 ,154.9181 
63 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
64 ,,,,,,,3.04000 ,,3.8165 ,157.3401 ,154.9181 
65 ,,,,,,,3.69000 ,,3.8165 ,157.3401 ,154.9181 
66 ,,,,,,,3.48144 ,,3.8165 ,157.3401 ,154.9181 
67 ,,,,,,,3.70000 ,,3.8165 ,157.3401 ,154.9181 
68 ,,,,,,,3.71000 ,,3.8165 ,157.3401 ,154.9181 
