,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,PC1,PC2,PC3,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship,SAPC1,SAPC2,SAPC3   ,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
1,4685,4935,4110,432,2013,22.3,GD Harpur,29,Doctor of Philosophy,Male,1,1,White,C15,Chemistry,3547.46,Harpur Doctor of Philosophy,Bachelors Prepared,20406.46,16859,1,0.077290724,0.062727225,0.272487357,3.88,3.5,4,0,0,0,0,0,0,0.06,3,3.79,4.6,GD Harpur,White,-225.54549,121.2944555,4.94512,3.51000 ,,3.5000 ,159.0000 ,160.0000 
2,0,0,0,0,2013,25.3,GD Nursing,32,Doctor of Nursing Practice,Male,0,2,Black or African American,D71,Community Health NP,20191.5,Nursing DNP,0,20191.5,0,1,-0.283971136,0.370121732,0.982211933,3.91,3,3.55,2.89,3.4,3.66,0,0,1,-0.02,6,3.4,3,GD Non-Harpur,White,-222.9505736,121.2944555,4.720366847,2.97500 ,,3.8165 ,157.3401 ,154.9181 
3,4685,4685,3699,3699,2012,22,GD Harpur,29,Doctor of Philosophy,Female,1,3,Asian,C45,Behavioral Neuroscience,5677.51,Harpur Doctor of Philosophy,Bachelors Prepared,32939.51,27262,1,-0.321539097,-0.284501292,-0.707201426,3.57,3.12,2.85,3.28,3,3,0,0,0,-0.08,6,3.14,5.4,GD Harpur,White,-213.38251,121.2944555,5.30638,3.49000 ,,4.0000 ,155.0000 ,147.0000 
4,4685,4685,3699,3699,2012,23,GD Harpur,30,Doctor of Philosophy,Female,1,4,White,C46,Cognitive Psychology,5698.7,Harpur Doctor of Philosophy,Bachelors Prepared,32054.7,26356,1,1.919867028,-0.184400313,-4.452150472,4,4,4,3.85,4,4,0,0,0,0,6,3.98,4.4,GD Harpur,White,-232.774995,121.2944555,6.77081,4.00500 ,,5.5000 ,159.0000 ,170.0000 
5,14616,0,0,0,2012,24.3,GD Nursing,32,Doctor of Nursing Practice,Male,1,5,Asia,D70,Family Nurse Practitioner,12732.34,Nursing DNP,0,27348.34,14616,1,-0.103830916,-0.199067826,-0.718372311,3.94,3.93,3.95,4,3.83,4,4,0,0,0.01,7,3.95,3,GD Non-Harpur,Asia,-217.5604767,121.2944555,5.328446667,3.52333 ,,4.0000 ,160.0000 ,148.0000 
6,4685,8340,6885,6885,2012,21,GD Watson,28,Doctor of Philosophy,Male,1,6,White,R96,Electrical Engineering,7330.7,Electrical Engineering PhD,0,35807.7,28477,1,-0.208273927,0.271459654,0.720387075,4,4,4,3.67,0,0,0,0,0,-0.1,4,3.92,2.4,GD Non-Harpur,White,-222.9504386,121.2944555,4.809736847,3.11000 ,,3.8165 ,157.3401 ,154.9181 
7,0,0,0,0,2012,22,GD Nursing,29,Doctor of Nursing Practice,Female,0,7,White,D70,Family Nurse Practitioner,28636.5,Nursing DNP,0,28636.5,0,1,-0.118558715,0.154526821,0.410076132,3.35,3.5,3.2,2.96,3.48,4,4,4,0,0.12,8,3.56,6.4,GD Non-Harpur,White,-222.9502786,121.2944555,4.915656847,3.27000 ,,3.8165 ,157.3401 ,154.9181 
8,4435,4435,4685,4685,2011,28,GD Nursing,36,Doctor of Philosophy,Female,1,8,Hispanic or Latino,D99,Nursing,12842.56,Nursing PhD,0,40250.56,27408,1,0.18619856,-0.002815344,1.472377471,3.85,4,3.93,4,4,4,0,0,0,0.02,6,3.96,6.8,GD Non-Harpur,White,-222.9503786,126.388,4.849456847,3.17000 ,,4.0000 ,141.0000 ,147.0000 
9,0,0,0,0,2013,44,GD Nursing,50,Doctor of Nursing Practice,Male,0,9,White,D70,Family Nurse Practitioner,21402,Nursing DNP,0,21402,0,1,1.022884785,-0.053191772,-2.755254455,4,3.91,4,4,4,0,0,0,1,0.01,5,3.98,3.4,GD Non-Harpur,White,-225.67341,121.2944555,6.12158,3.59000 ,,5.0000 ,155.0000 ,164.0000 
10,453,0,0,0,2014,22.3,GD Watson,28,Doctor of Philosophy,Male,1,10,White,R87,Industrial and Systems Enginee,803.5,Industrial and Systems Eng PhD,0,1256.5,453,1,-0.125355091,0.522963611,0.048180821,3.5,3.53,3.77,4,3.43,4,0,0,1,0.07,6,3.71,4,GD Non-Harpur,White,-219.954385,121.2944555,5.10163,2.61500 ,,4.5000 ,153.0000 ,158.0000 
