,1st Term Funding,2nd Term Funding,3rd Term Funding,4th Term Funding,Start age,College,Current Age,Degree,Gender,Grad Funding Indicator,ID,Citizenship,Major ID,Major,Net Cost After Any Funding,Program,Prep Level,Total Charges,Total Funding Amount,Y,PC1,PC2,PC3,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,Gap,Slope,Valid term,Average,Academic Period (Years)
1,4685,4935,4110,432,22.3,GD Harpur,29,Doctor of Philosophy,Male,1,1,White,C15,Chemistry,3547.46,Harpur Doctor of Philosophy,Bachelors Prepared,20406.46,16859,1,3.165290559,1.926421401,0.011123306,3.88,3.5,4,0,0,0,0,0,0,0.06,3,3.79,4.6
2,0,0,0,0,25.3,GD Nursing,32,Doctor of Nursing Practice,Male,0,2,Black or African American,D71,Community Health NP,20191.5,Nursing DNP,0,20191.5,0,1,0.102017161,-0.877930568,0.135108855,0,0,0,0,0,0,0,0,0,0,0,0,3
3,4685,4685,3699,3699,22,GD Harpur,29,Doctor of Philosophy,Female,1,3,Asian,C45,Behavioral Neuroscience,5677.51,Harpur Doctor of Philosophy,Bachelors Prepared,32939.51,27262,1,3.192764158,1.943579055,0.008852547,3.57,3.12,2.85,3.28,3,3,0,0,0,-0.08,6,3.14,5.4
4,4685,4685,3699,3699,23,GD Harpur,30,Doctor of Philosophy,Female,1,4,White,C46,Cognitive Psychology,5698.7,Harpur Doctor of Philosophy,Bachelors Prepared,32054.7,26356,1,3.795688352,2.581927468,0.042519076,4,4,4,3.85,4,4,0,0,0,0,6,3.98,4.4
5,14616,0,0,0,24.3,GD Nursing,32,Doctor of Nursing Practice,Male,1,5,Asia,D70,Family Nurse Practitioner,12732.34,Nursing DNP,0,27348.34,14616,1,3.231455606,1.985059464,0.010560686,0,0,0,0,0,0,0,0,0,0,0,0,3
6,4685,8340,6885,6885,21,GD Watson,28,Doctor of Philosophy,Male,1,6,White,R96,Electrical Engineering,7330.7,Electrical Engineering PhD,0,35807.7,28477,1,0.103035283,-0.847233096,0.152877374,0,0,0,0,0,0,0,0,0,0,0,0,2.4
7,0,0,0,0,22,GD Nursing,29,Doctor of Nursing Practice,Female,0,7,White,D70,Family Nurse Practitioner,28636.5,Nursing DNP,0,28636.5,0,1,0.104241947,-0.810850905,0.173936359,3.35,3.5,3.2,2.96,3.48,4,4,4,0,0.12,8,3.56,6.4
8,4435,4435,4685,4685,28,GD Nursing,36,Doctor of Philosophy,Female,1,8,Hispanic or Latino,D99,Nursing,12842.56,Nursing PhD,0,40250.56,27408,1,-2.094528784,1.269293587,0.030139447,3.85,4,3.93,4,4,4,0,0,0,0.02,6,3.96,6.8
9,0,0,0,0,44,GD Nursing,50,Doctor of Nursing Practice,Male,0,9,White,D70,Family Nurse Practitioner,21402,Nursing DNP,0,21402,0,1,3.587087142,2.308740102,-0.000297737,4,3.91,4,4,4,0,0,0,1,0.01,5,3.98,3.4
10,453,0,0,0,22.3,GD Watson,28,Doctor of Philosophy,Male,1,10,White,R87,Industrial and Systems Enginee,803.5,Industrial and Systems Eng PhD,0,1256.5,453,1,3.386964083,1.919410456,-0.117711511,3.5,3.53,3.77,4,3.43,4,0,0,1,0.07,6,3.71,4
